repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
bolbol2night/cppcheck,C++,0.988281,8,1,0.110740,135.425537,0.000000,1,161156,0.556167,0,1,1,1,1
AndroidOpenDevelopment/android_external_skia,C++,0.974610,9,0,0.061784,5.882353,0.000000,1,1210454,0.099032,0,1,1,1,1
wilsonlab/arte-backend,C++,0.903918,3,0,0.217809,3.564103,0.410256,1,273502,0.005948,1,1,1,1,1
elmore87/xbmc,C++,0.869901,47,0,0.164116,431.415375,0.000000,1,1778003,0.063454,0,1,1,1,1
xin3liang/toolchain_mclinker,C++,0.990724,2,0,0.211078,33.333332,0.000000,1,80123,0.453948,0,1,1,1,1
thSoft/lilypond-hu,C++,0.991597,14,0,0.139483,108.361992,0.013575,1,183940,0.000000,1,1,1,1,1
mordesku/ubuntu_device_lge_geehrc,C++,0.512821,26,0,0.110005,36.090908,0.000000,1,78530,0.393762,1,1,1,1,1
F-AOSP/platform_hardware_qcom_media,C++,0.660000,13,0,0.142022,20.745455,0.000000,1,81673,0.025339,0,1,1,1,1
AICP/device_lge_hammerheadcaf,C++,0.861878,23,0,0.199660,47.130436,0.000000,1,99966,0.012568,0,1,1,1,1
nvgreensocs/greenlib,C++,0.892691,2,0,0.394515,11.666667,0.333333,1,61367,0.000000,0,1,1,1,1
Aexyn/WebRTC,C++,0.937173,32,0,0.168207,192.644440,0.000000,1,652636,0.148259,0,1,1,1,1
hadley/readr,C++,0.942857,1,1,0.158141,95.000000,31.000000,1,2981,0.000000,353,1,1,1,1
google/rowhammer-test,C++,0.500000,1,0,0.204900,5.400000,0.600000,1,415,1.000000,450,1,1,1,1
slouffka/crank,C++,0.905660,1,0,0.064786,43.000000,3.000000,1,2148,0.000000,0,0,1,1,1
DimanNe/eventmanager,C++,0.584843,1,0,0.079938,2.375000,0.062500,1,47829,0.090817,0,1,1,1,1
kodi-pvr/pvr.dvblink,C++,0.851852,8,0,0.317288,2.619048,0.380952,1,7437,0.000000,1,1,1,1,1
OSVR/OSVR-Core,C++,0.930249,1,0,0.267866,267.000000,41.000000,1,252585,0.227375,98,1,1,1,1
kodi-pvr/pvr.argustv,C++,0.916667,10,0,0.228063,2.750000,0.178571,1,5468,0.000000,2,1,1,1,1
BaylorCS/baylorml,C++,0.973770,3,0,0.275848,2.400000,0.200000,1,54752,0.000000,9,1,1,1,1
kodi-pvr/pvr.vdr.vnsi,C++,0.933333,7,0,0.085660,5.888889,0.222222,1,8646,0.000000,1,1,1,1,1
ANLAB-KAIST/KENSv3,C++,0.970588,1,0,0.135656,25.250000,0.250000,1,7804,0.336206,12,1,1,1,1
analogdevicesinc/libsmu,C++,0.900000,2,1,0.085954,49.000000,4.333333,1,1750,0.000000,5,1,1,1,1
kodi-pvr/pvr.wmc,C++,0.923077,8,0,0.138201,4.800000,0.266667,1,3310,0.000000,1,1,1,1,1
